Symbol	Room	Bldg	Organization or Title	Phone	In Charge
N	111	Archives I	OFFICE OF THE ARCHIVIST OF THE UNITED STATES	202-357-5900	David S Ferriero
4200	Archives II	    Archives II Office	301-837-1600	 
ND	4200	Archives II	DEPUTY ARCHIVIST OF THE UNITED STATES	202-357-5900	Debra Steidel Wall
 	Archives I	    Archives I Office	202-357-5900	 
NCON	101	Archives I	CONGRESSIONAL AFFAIRS STAFF	202-357-5100	John Owen Hamilton
NEEO	3310	Archives II	EQUAL EMPLOYMENT OPPORTUNITY OFFICE	301-837-0939	Ismael Martinez
NGC	3110	Archives II	GENERAL COUNSEL	301-837-3026	Gary M Stern
3110	Archives II	    Senior Counsel	301-837-2928	Chris M Runkel
3110	Archives II	    Director of Litigation	301-837-3026	Jeannette Wise
3100	Archives II	    Counsel for Procurement and Employment Law	301-837-1888	Stephani L Abramson
NHPRC	114	Archives I	NATIONAL HISTORICAL PUBLICATIONS AND RECORDS COMMISSION	202-357-5263	Vacant
OIG	1300	Archives II	OFFICE OF THE INSPECTOR GENERAL	301-837-3000	James E Springs
1300	Archives II	    Audits	301-837-3000	Jewel L Butler
1300	Archives II	    Investigations	301-837-3000	Jason J Metrick
1300	Archives II	    Counsel	301-837-3000	John M Simms
S	111A	Archives I	OFFICE OF THE CHIEF OF STAFF	202-357-7458	Maria Stanwich
S-A	107	Archives I	    Planning and Support	202-357-7467	Vacant
SC	G-1	Archives I	    Communications and Marketing Division	202-357-5300	John G. Valceanu
SE	 	Archives II	    Executive Secretariat	202-357-7458	Maria Stanwich (A)
ST	 	 	    Customer Experience	 	Vacant (A)
C	4200	Archives II	OFFICE OF THE CHIEF OPERATING OFFICER	301-837-0643	William J Bosanko
CA	4100	Archives II	    Accountability Staff	301-837-1668	Kimm A Richards
CM	2510	Archives II	    Corporate Records Management Staff	301-837-0880	Deborah H. Armentrout
CH	 	 	    Holdings Protection and Recovery Staff	 	Vacant
H	1200	Archives II	OFFICE OF HUMAN CAPITAL	301-837-3710	Sean M Clayton
HT	 	 	    Talent Acquisition Division	301-837-0366	Vacant
HTC	370	St. Louis	        Classification Branch	301-512-1617	Landon J. Carter
HTS	370	St. Louis	        Staffing and Classification Branch	314-801-2501	Kathleen E Trentham
HP	1200	Archives II	    Labor/Employee Relations, Benefits & Performance Management Division	301-837-1981	Valorie F Findlater (A)
HPL	370	St. Louis	        Labor Relations Branch	314-801-9282	Christopher B Wilder
HPP	1200	Archives II	        Performance Management and Benefits Branch	301-837-3754	Valorie F Findlater
HS	1200	Archives II	    Strategy, Analysis, & Automation Division	301-837-0366	John C. Parham
HSB	1200	Archives II	        Business Systems Branch	301-837-1756	John C. Parham (A)
HL	3500	Archives II	    Organizational Development & Learning Division	301-837-0450	Kashmira A. Shaikh
HLO	 	 	        Organizational Development Branch	 	Steven T Flowers
HLL	 	Archives II	        Learning & Leadership Branch	 	Bouviette N Pennington (A)
V	3200	Archives II	OFFICE OF INNOVATION	301-837-2029	Pamela S Wright
VI	3200	Archives II	    Digitization Division	301-837-1643	Dana M Allen-Greil (A)
VIS	3200	Archives II	        Digitization Services Branch	301-837-1643	Jennifer L Seitz (A)
VE	3200	Archives II	    Digital Engagement Division	301-837-0760	Andrew P Wilson
VES	3200	Archives II	        Web and Social Media Branch	301-837-0294	Dana M Allen-Greil
VEO	3200	Archives II	        Digital Public Access Branch	301-837-3022	Jason C Clingerman
VH	3200	Archives II	    Innovation Hub	 	Meredith M. A. Stewart
VS	3200	Archives II	    Business Architecture, Standards, and Authorities Division	 	Vacant
VM	3200	Archives II	    Project Management Division	202-357-5113	Aaron S Woo
F	700	800 N. Capitol	OFFICE OF THE FEDERAL REGISTER	202-741-6100	Oliver A Potts
FL	700	800 N. Capitol	    Legal Affairs and Policy Division	202-741-6025	Amy P Bunk
FP	700	800 N. Capitol	    Publications and Services Division	202-741-6002	John H Martinez
FD	700	800 N. Capitol	    Development, Digital Strategy, and Analytics Division	202-741-6057	Stephen J Frattini
A	3600	Archives II	AGENCY SERVICES	301-837-3064	Jay A Trainer
AC	2100	Archives II	    Office of the Chief Records Officer	301-837-1539	Laurence N Brewer (A)
ACR	2200	Archives II	        Records Management Operations Program	301-837-1539	Margaret R Hawkins
ACRC	3400	Archives II	            Permanent Records Capture Section	301-837-3109	Matthew Y Eidson
ACRA	2200	Archives II	            Records Appraisal and Agency Assistance	301-837-1799	Margaret R Hawkins
ACRB	3513	Laguna Niguel	        Business Analysis Solutions Team	949-448-4932	 
ACP	2100	Archives II	        Records Management Policy and Outreach Program	301-837-1744	Lisa I Haralampus
ACPS	 	Archives II	            Policy and Standards Team	301-837-1948	John C Martinez
ACPP	2100	Archives II	            Policy and Program Support Team	301-837-1744	Arian D Ravanbakhsh (A)
ACT	5332	Archives II	        Records Management Training Program	301-837-1710	Gary H Rauchfuss (A)
ACTA	2111	Archives II	            Training Analysis, Evaluation, and Operations Team	301-837-3139	Wilda D Logan (A)
ACTD	 	Pittsfield	            Training Design and Development Team	413-236-3605	Andy R Potter (A)
ACTI	5320	Archives II	            Training Implementation Team	301-837-1710	Gary H Rauchfuss (A)
ACO	2200	Archives II	        Records Management Oversight and Reporting Program	301-837-3426	Donald R Rosen (A)
ACO1	 	Ft. Worth	            Oversight Team 1	682-465-3021	Cindy C Smolovik (A)
ACO2	 	Archives II	            Oversight Team 2	 	Evangela C. Wimbush-Jeffrey (A)
ACOS	 	Archives II	            Systems Analysis Team	 	Vacant (A)
AF	3600	Archives II	    Federal Records Center Program	301-837-3115	David M Weinberg
AFC	3600	Archives II	        Customer Relationship Management Branch	301-837-1546	Gordon G Everett
AFN	360	St. Louis	        National Personnel Records Center	314-801-0587	Scott A Levins
AFN-C	103	Valmeyer	            Civilian Personnel Records	618-935-3005	Kimberly A Gentile
AFN-CO	102	Valmeyer	                Civilian Operations Branch	618-935-3010	Patricia S Resler
AFN-CR	107B	Valmeyer	                Civilian Reference Services Branch	618-935-3017	Tasha M Ford
AFN-M	360	St. Louis	            Military Personnel Records	314-801-0582	Kevin M Pratt
AFN-MC1	290	St. Louis	                Military Reference Core 1	314-801-0721	Sharon A Box (A)
AFN-MC2	200	St. Louis	                Military Reference Core 2	314-801-0721	Joyce A McKiddy
AFN-MC3	260	St. Louis	                Military Reference Core 3	314-801-0658	Gregory L Sampson
AFN-MC4	220	St. Louis	                Military Reference Core 4	314-801-0788	Angela R Foster
AFN-MO	160	St. Louis	                Military Operations Branch	314-801-0647	Karen L Mellott
AFN-MR	240	St. Louis	                Military Records Retrieval Branch	314-801-9297	 
AFO	3600	Archives II	        Operations Branch	404-736-2825	Leanne M Townsend-Cerame
AFOT	3600	Archives II	            National Transfer and Disposition	206-336-5124	Scott E Roley (A)
AFOP	3600	Archives II	            Policy, Projects, and Management Controls	 	Scott S Diegel
AFOR	3600	Archives II	            Records Management Services	301-837-2010	David S Miller
AFOR-R	 	 	            Records Management Consulting Services	 	Vacant
AFOR-S	 	 	            Scanning Advisory Services	 	Vacant
AFOD	 	Suitland	            Operations DC - WNRC	301-778-1553	Christopher C Pinkney
AFOE	3600	Archives II	            Operations East	 	Steven J Ourada
AFOE-AT	 	Ellenwood	                Atlanta Federal Records Center	404-736-2888	 
AFOE-BO	 	Boston	                Boston Federal Records Center	781-663-0139	Jonathan D Morse
AFOE-CH	 	Chicago	                Chicago Federal Records Center	773-948-9007	Pamela Ann Wegner
AFOE-DT	 	Dayton	                Dayton Federal Records Center	937-425-0661	Chloe R Reed
AFOE-FW	 	Ft. Worth	                Fort Worth Federal Records Center	817-551-2003	Scott S Beadle
AFOE-KR	 	Kingsridge	                Kingsridge Federal Records Center	937-425-0601	Lloyd D Mitchell
AFOE-PA	 	Phil.(NE)	                Federal Records Centers - Philadelphia	215-305-2011	Aaron T Swann
AFOE-PF	 	Pittsfield	                Pittsfield Federal Records Center	413-236-3610	Jean B Kubica
AFOW	3600	Archives II	            Operations West	 	Michael J Kretch
AFOW-DV	 	Broomfield	                Denver Federal Records Center	303-604-4763	Samantha M Wade (A)
AFOW-KC	 	Kansas City	                Kansas City Federal Records Center	816-994-1702	Theresa L Mellon
AFOW-LS	 	Lee's Summit	                Lee's Summit Federal Records Center	816-268-8149	Sean P Murphy
AFOW-LX	 	Lenexa	                Lenexa Federal Records Center	913-825-7809	David H Diamond
AFOW-RS	 	Riverside	                Riverside Federal Records Center	951-956-2015	Michael J Kretch
AFOW-SB	 	San Bruno	                San Bruno Federal Records Center	650-238-3475	George K Morash
AFOW-SE	 	Seattle	                Seattle Federal Records Center	206-336-5143	Steven J Ourada
AISOO	100	Archives I	    Information Security Oversight Office	202-357-5250	Mark A. Bradley
AISOO-C	508	Archives I	        Controlled Unclassified Information Executive Agent	202-357-5313	Patrick D Viscuso
AISOO-P	100	Archives I	        Public Interest Declassification Board	202-357-5205	Vacant (A)
ANDC	6350	Archives II	    National Declassification Center	301-837-058	Sheryl J Shenberger
AOGIS	700	800 N. Capitol	    Office of Government Information Services	202-741-5771	Nikki N Gramian (A)
R	3400	Archives II	RESEARCH SERVICES	301-837-3110	Ann A Cummings
R-B	 	Archives II	    Backlog Reduction	 	Vacant
RP	3400	Archives II	    Project and Performance Management	 	Vacant
RC	3400	Archives II	    Research Customer Support Division	 	Vacant
RCT	 	Archives II	        Customer Teams	 	Vacant
RCI	2500	Archives II	        Archives Library Information Center	301-837-1795	Jeffery T Hartley
